dataset_name,as_run_scoring_family,source_modality,perturbation_unit,include_in_gene_perturbation_evidence,include_in_chemical_evidence,include_in_cytokine_stimulation_evidence,chemical_exposure_contract_status,ontology_status,rationale
CuiHacohen2023,gene_main,cytokine_stimulation,cytokine_or_stimulation,false,false,true,not_chemical,metadata_audited,Cui/Hacohen is cytokine/stimulation metadata; it may be scored with the gene_main formula as run but should not be called gene perturbation evidence.
Frangieh,gene_main,gene_perturbation,gene_symbol,true,false,false,not_chemical,needs_source_citation,Frangieh perturbation labels appear compatible with gene perturbation; source citation/provenance should be finalized before strict submission.
Haber,gene_main,gene_perturbation,gene_or_condition_label,true,false,false,not_chemical,legacy_candidate,Legacy candidate listed for gene_main eligibility; not part of current seven-run formal table.
KaggleCrossCell,chem_robust,chemical_or_drug_label,compound_label,false,true,false,exposure_fields_incomplete,legacy_candidate,Legacy chemical scoring candidate; dose/time/control fields are not strict chemical-contract validated here.
KaggleCrossPatient,chem_robust,chemical_or_drug_label,compound_label,false,true,false,exposure_fields_incomplete,legacy_candidate,Legacy chemical scoring candidate; dose/time/control fields are not strict chemical-contract validated here.
LaraAstiasoHuntly2023_exvivo,gene_main,gene_perturbation,gene_symbol,true,false,false,not_chemical,metadata_audited,As-run gene_main dataset; perturbation labels (CRISPR target genes) are present in PREDICTION_RECORDS; only control rows have empty perturbation as expected.
LaraAstiasoHuntly2023_invivo,gene_main,gene_perturbation,gene_symbol,true,false,false,not_chemical,metadata_audited,As-run gene_main dataset; perturbation labels (CRISPR target genes) are present in PREDICTION_RECORDS; only control rows have empty perturbation as expected.
McFarland,chem_robust,chemical_drug,drug_label,false,true,false,drug_only_task_key_insufficient,legacy_alias,McFarland alias for McFarland/Tsherniak chemical scoring; drug-only labels are insufficient for broad pharmacology claims.
McFarlandTsherniak2020,chem_robust,chemical_drug,drug_label,false,true,false,drug_only_task_key_insufficient,metadata_audited,McFarland/Tsherniak is a real drug-response setting and a frozen-protocol failure under current drug-only task keys.
Parekh,gene_main,gene_perturbation,gene_or_condition_label,true,false,false,not_chemical,legacy_candidate,Legacy candidate listed for gene_main eligibility; not part of current seven-run formal table.
SantinhaPlatt2023,gene_main,crispr_cas9,gene_symbol,true,false,false,not_chemical,ontology_corrected,Santinha/Platt source metadata indicate CRISPR-cas9 with gene-symbol perturbation labels; corrected from chem_robust to gene_main scoring family.
ShifrutMarson2018,gene_main,gene_perturbation,gene_symbol,true,false,false,not_chemical,supplement_candidate,Supplement candidate; not part of current seven-run formal table.
SrivatsanTrapnell2020_sciplex2,chem_robust,chemical_drug,compound_label,false,true,false,exposure_fields_incomplete,legacy_candidate,Sci-Plex chemical scoring candidate; exposure-unit metadata need documentation before broad chemical claims.
SrivatsanTrapnell2020_sciplex3,chem_robust,chemical_drug,compound_label,false,true,false,exposure_fields_incomplete,metadata_audited,Srivatsan/Trapnell sci-Plex3 is a positive as-run drug-label dataset; dose/time/control provenance remains incomplete.
SrivatsanTrapnell2020_sciplex4,chem_robust,chemical_drug,compound_label,false,true,false,exposure_fields_incomplete,supplement_candidate,Sci-Plex4 supplement candidate; exposure-unit metadata need documentation before broad chemical claims.
TCDD,chem_robust,chemical_drug,compound_label,false,true,false,exposure_fields_incomplete,legacy_candidate,Legacy chemical scoring candidate; not part of current seven-run formal table.
crossPatient,gene_main,gene_perturbation,gene_or_condition_label,true,false,false,not_chemical,legacy_candidate,Legacy gene_main candidate.
kangCrossCell,gene_main,gene_perturbation,gene_or_condition_label,true,false,false,not_chemical,legacy_candidate,Legacy gene_main candidate.
kangCrossPatient,gene_main,gene_perturbation,gene_or_condition_label,true,false,false,not_chemical,legacy_candidate,Legacy gene_main candidate.
sciplex3,chem_robust,chemical_drug,compound_label,false,true,false,exposure_fields_incomplete,legacy_candidate,Legacy sci-Plex chemical scoring alias.
