unit_id,study_id,batch_id,pretruth_evaluation_status,endpoint_truth_nondegenerate,predictor_viability_fraction_vs_simple,postgate_upstream_viability_status,postgate_interpretation_status,association_metric_evaluable,deployment_authorized
E153::Frangieh,Frangieh,frangieh_context_holdout_1_Co-culture,EVALUABLE_SELECTIVE_RANKING_G4_NOT_EVALUATED,True,,NOT_EVALUATED,UPSTREAM_VIABILITY_NOT_EVALUATED,True,False
E153::Frangieh,Frangieh,frangieh_context_holdout_2_Control,EVALUABLE_SELECTIVE_RANKING_G4_NOT_EVALUATED,True,,NOT_EVALUATED,UPSTREAM_VIABILITY_NOT_EVALUATED,True,False
E153::Frangieh,Frangieh,frangieh_context_holdout_3_IFNγ,EVALUABLE_ASSOCIATION_TIE_AWARE_G4_NOT_EVALUATED,True,,NOT_EVALUATED,UPSTREAM_VIABILITY_NOT_EVALUATED,True,False
E153::Lara_exvivo,Lara_exvivo,Lara_exvivo_context_holdout_1_EBMP,EVALUABLE_SELECTIVE_RANKING_G4_NOT_EVALUATED,True,,NOT_EVALUATED,UPSTREAM_VIABILITY_NOT_EVALUATED,True,False
E153::Lara_exvivo,Lara_exvivo,Lara_exvivo_context_holdout_2_GMP,EVALUABLE_SELECTIVE_RANKING_G4_NOT_EVALUATED,True,,NOT_EVALUATED,UPSTREAM_VIABILITY_NOT_EVALUATED,True,False
E153::Lara_exvivo,Lara_exvivo,Lara_exvivo_context_holdout_3_GMP_(late),EVALUABLE_SELECTIVE_RANKING_G4_NOT_EVALUATED,True,,NOT_EVALUATED,UPSTREAM_VIABILITY_NOT_EVALUATED,True,False
E153::Lara_exvivo,Lara_exvivo,Lara_exvivo_context_holdout_4_HSC,EVALUABLE_SELECTIVE_RANKING_G4_NOT_EVALUATED,True,,NOT_EVALUATED,UPSTREAM_VIABILITY_NOT_EVALUATED,True,False
E153::Lara_exvivo,Lara_exvivo,Lara_exvivo_context_holdout_5_MkP,EVALUABLE_SELECTIVE_RANKING_G4_NOT_EVALUATED,True,,NOT_EVALUATED,UPSTREAM_VIABILITY_NOT_EVALUATED,True,False
E153::Liang,Liang,Liang_context_holdout_1_DM2_1,EVALUABLE_ASSOCIATION_TIE_AWARE_G4_NOT_EVALUATED,True,,NOT_EVALUATED,UPSTREAM_VIABILITY_NOT_EVALUATED,True,False
E153::Liang,Liang,Liang_context_holdout_2_DM2_2,EVALUABLE_ASSOCIATION_TIE_AWARE_G4_NOT_EVALUATED,True,,NOT_EVALUATED,UPSTREAM_VIABILITY_NOT_EVALUATED,True,False
E153::Liang,Liang,Liang_context_holdout_3_DM2_3,EVALUABLE_SELECTIVE_RANKING_G4_NOT_EVALUATED,True,,NOT_EVALUATED,UPSTREAM_VIABILITY_NOT_EVALUATED,True,False
E153::Liang,Liang,Liang_context_holdout_4_DM2_4,EVALUABLE_ASSOCIATION_TIE_AWARE_G4_NOT_EVALUATED,True,,NOT_EVALUATED,UPSTREAM_VIABILITY_NOT_EVALUATED,True,False
E153::Liang,Liang,Liang_context_holdout_5_DM2_5,EVALUABLE_ASSOCIATION_TIE_AWARE_G4_NOT_EVALUATED,True,,NOT_EVALUATED,UPSTREAM_VIABILITY_NOT_EVALUATED,True,False
E153::Liang,Liang,Liang_context_holdout_6_DM2_6,EVALUABLE_SELECTIVE_RANKING_G4_NOT_EVALUATED,True,,NOT_EVALUATED,UPSTREAM_VIABILITY_NOT_EVALUATED,True,False
E153::Liang,Liang,Liang_context_holdout_7_EM2_1,EVALUABLE_ASSOCIATION_TIE_AWARE_G4_NOT_EVALUATED,True,,NOT_EVALUATED,UPSTREAM_VIABILITY_NOT_EVALUATED,True,False
E153::Liang,Liang,Liang_context_holdout_8_EM2_2,EVALUABLE_ASSOCIATION_TIE_AWARE_G4_NOT_EVALUATED,True,,NOT_EVALUATED,UPSTREAM_VIABILITY_NOT_EVALUATED,True,False
E153::Liang,Liang,Liang_context_holdout_9_EM2_3,EVALUABLE_ASSOCIATION_TIE_AWARE_G4_NOT_EVALUATED,True,,NOT_EVALUATED,UPSTREAM_VIABILITY_NOT_EVALUATED,True,False
E153::Nadig_two_cellline,Nadig_two_cellline,Nadig_cellline_holdout_1_HepG2,EVALUABLE_ASSOCIATION_TIE_AWARE_G4_NOT_EVALUATED,True,,NOT_EVALUATED,UPSTREAM_VIABILITY_NOT_EVALUATED,True,False
E153::Nadig_two_cellline,Nadig_two_cellline,Nadig_cellline_holdout_2_Jurkat,EVALUABLE_SELECTIVE_RANKING_G4_NOT_EVALUATED,True,,NOT_EVALUATED,UPSTREAM_VIABILITY_NOT_EVALUATED,True,False
E96::Norman_P1,Norman_P1,E96::Norman_P1,EVALUABLE_SELECTIVE_RANKING_G4_NOT_EVALUATED,True,,NOT_EVALUATED,UPSTREAM_VIABILITY_NOT_EVALUATED,True,False
E96::Norman_P2,Norman_P2,E96::Norman_P2,EVALUABLE_SELECTIVE_RANKING_G4_NOT_EVALUATED,True,,NOT_EVALUATED,UPSTREAM_VIABILITY_NOT_EVALUATED,True,False
E159::Norman_P3::official,Norman_P3,E159::Norman_P3::official,ABSTAIN_SCORE_SATURATION,True,,NOT_EVALUATED,UPSTREAM_VIABILITY_NOT_EVALUATED,False,False
E159::Norman_P3::raw_log_prob,Norman_P3,E159::Norman_P3::raw_log_prob,ABSTAIN_PREDICTOR_COLLAPSE,True,,NOT_EVALUATED,UPSTREAM_VIABILITY_NOT_EVALUATED,True,False
E159::Norman_P4::official,Norman_P4,E159::Norman_P4::official,ABSTAIN_SCORE_SATURATION,True,,NOT_EVALUATED,UPSTREAM_VIABILITY_NOT_EVALUATED,False,False
E159::Norman_P4::raw_log_prob,Norman_P4,E159::Norman_P4::raw_log_prob,ABSTAIN_PREDICTOR_COLLAPSE,True,,NOT_EVALUATED,UPSTREAM_VIABILITY_NOT_EVALUATED,True,False
E87::sciPlex3_to_OpenProblems,OpenProblems2023,E87::sciPlex3_to_OpenProblems,EVALUABLE_SELECTIVE_RANKING_G4_NOT_EVALUATED,True,0,FAIL_NOT_MAJORITY_TASKS,UPSTREAM_PREDICTOR_INVALID,True,False
E153::Replogle_two_cellline,Replogle_two_cellline,Replogle_cellline_holdout_1_K562,EVALUABLE_ASSOCIATION_TIE_AWARE_G4_NOT_EVALUATED,True,,NOT_EVALUATED,UPSTREAM_VIABILITY_NOT_EVALUATED,True,False
E153::Replogle_two_cellline,Replogle_two_cellline,Replogle_cellline_holdout_2_RPE1,EVALUABLE_ASSOCIATION_TIE_AWARE_G4_NOT_EVALUATED,True,,NOT_EVALUATED,UPSTREAM_VIABILITY_NOT_EVALUATED,True,False
