role,path,sha256
E155_split_csv,/home/yyf/proj/docs/实验结果/E155_prescribe_norman_p3p4_contract_20260714/manifests/Norman_P3_SPLIT.csv,b0a403933579e01d0a147301717b38f299e29f195686afeaa5db65c4d5ed869d
E155_split_pickle,/home/yyf/proj/docs/实验结果/E155_prescribe_norman_p3p4_contract_20260714/manifests/Norman_P3_set2conditions.pkl,0f0a90192f05178556300aefc06c8d2feef52e7ee73d27043b79201075c795c1
E156_artifact_manifest,/home/yyf/proj/docs/实验结果/E156_prescribe_norman_p3p4_preprocess_20260714/tables/E156_ARTIFACT_HASHES.csv,233044bcfef073fb0f57320aa4c52ed8fc0e6e75d1cc04d89f9159767aa36660
E156_panel_asset,/home/yyf/data/safeconf_e156_prescribe/norman_p3/data_pyg/cell_graphs.pkl,d51860c19f7a07249e6fe62ac2890f9270c3a06ada81e9f160738bd710cc3894
E156_panel_asset,/home/yyf/data/safeconf_e156_prescribe/norman_p3/data_pyg/cov.npy,2d86c1a12bff9b9bf689a77cab523b789c220dbab7c9c6321d1f60a9c6f29229
E156_panel_asset,/home/yyf/data/safeconf_e156_prescribe/norman_p3/data_pyg/mean.npy,959d1f2e2aac4cc83044448372e16b7f63ea94ce8e7e84c8a93357491d4e29f3
E156_panel_asset,/home/yyf/data/safeconf_e156_prescribe/norman_p3/frozen_pert_gene_set_3407.pkl,439836ec20af1ded32af117a32672f02a7ec6ac033d0a0b8e03e481a2a15132a
E156_panel_asset,/home/yyf/data/safeconf_e156_prescribe/norman_p3/perturb_e_distance.h5ad,bfb1f86c2cb8ce9b19079a333d02cbccafafc04b5dfd00a0863a7039829103be
E156_panel_asset,/home/yyf/data/safeconf_e156_prescribe/norman_p3/perturb_processed.h5ad,b4f4d1aa0f4b61d6c1d1890f1332e4f436eda3a33fed2abb74fde030862abecd
E156_panel_asset,/home/yyf/data/safeconf_e156_prescribe/norman_p3/set2conditions_3407.pkl,0f0a90192f05178556300aefc06c8d2feef52e7ee73d27043b79201075c795c1
E156_panel_asset,/home/yyf/data/safeconf_e156_prescribe/norman_p3/train_only_edistance_labels.csv,21abb1cda9119575ec2195d9d00ed106a1088517db0765fa094dcb280afe36bd
E157_analysis_contract,/home/yyf/proj/docs/实验结果/E157_prescribe_norman_p3p4_native_20260714/ANALYSIS_CONTRACT_DRAFT.md,1177a051e64a63f690e840252cd4ecd0bbcb70daa1db3354d0cc62e4e693fbb2
PRESCRIBE_GEARS_data_worktree,/home/yyf/archive/external/PRESCRIBE/gears/pertdata.py,d7316bc19fc70d78c78d0dabf126df161ae861a6620d85a0d16aeaeee27ba59c
PRESCRIBE_Step2_train,/home/yyf/archive/external/PRESCRIBE/Step2_train.py,0f9134611f3c39eaefb77c78fdafa66ff284e8bf7a1c8fdafaa957b3bb5587d9
PRESCRIBE_data_loader_worktree,/home/yyf/archive/external/PRESCRIBE/src/data/pertdata.py,f5247ceb8cd5e8a5782c74d1d4e17350dfbed2e2c911f56fb4bf9f69344acc77
scGPT_perturbation_embedding,/home/yyf/archive/external/PRESCRIBE/scLLM_weights/scGPT/embedding.pkl,9a5be69676bc09fbf996ae7be1d4faa09c9f32abbf733f33fc130153829ad8ce
